,index,file_name,question,human_answer,llm_answer,score,llm_type,question_id
71,21,449857.txt,"
Z jakých důkazů soud vyšel?
","
Zjištěné údaje o vozidle [registrační značka], druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle [registrační značka], výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021."," Soud vyšel z následujících důkazů:

* Listiny: zjištěné údaje o vozidle (registrační značka), druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle (registrační značka), výzva k",4,llama,21
72,22,895.txt,"
Které měsíce žalovaný poplatek zaplatil?
","
Žalovaný zaplatil za leden až duben 2018."," Answer:
Žalovaný poplatek zaplatil pouze za měsíce leden 2018 až duben 2018.",10,llama,22
73,23,454305.txt,"
Jakým způsobem se žalovaný bránil proti žalobě?
","
Žalovaný se vůbec nevyjádřil.", Žalovaný se nevyjádřil ke žalobě.,10,llama,23
74,24,449826.txt,"
Kolik toho žalovaná splatila?
","
Žalovaná splatila částku 22.910 Kč, tedy 9 splátek."," Žalovaná splatila 22.910 Kč, tzn. 9 splátek.",10,llama,24
75,25,454304.txt,"
Kolik požadovala žalobkyně a kolik jí soud přiznal?
","
Soud přiznal žalobkyni částku 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75% ročně z částky 105 049,77 Kč. Žalobkyně navíc požadovala zaplacení úroku ve výši 14,2 % ročně z částky 102 232,13 Kč od [datum] do zaplacení a zákonného úroku z prodlení ve výši 7,75 % ročně z částky 10 603,36 Kč od [datum] do zaplacení."," Answer:
Žalobkyně požadovala 105 049,77 Kč + 10 603,36 Kč = 115 653,13 Kč.
Soud jí přiznal 129 328,71 Kč.",2,llama,25
76,26,454243.txt,"
Kde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?
","
Denní sazba je uvedena v ust. § 2 odst. 1 vyhlášky Ministerstva financí č. 205/1999 Sb.", Denní sazba příspěvku pojištění odpovědnosti při provozu osobního automobilu je stanovena Ministerstvem financí vyhláškou č. 205/1999 Sb.,4,llama,26
77,27,449749.txt,"
V jakém složení soud rozhodl ve věci?
","
Věc posuzovala samosoudkyně.", Ve věci rozhodl soud v složení samosoudkyně Mgr. Zuzany Lasotové Brabcové.,10,llama,27
78,28,449644.txt,"
Kdo tento soudní spor vyhrál?
","
Vyhrála žalobykně, byť jen částečně (soud část žaloby zamítl).", I. Žalovaný,1,llama,28
79,29,449893.txt,"
O jakou neplatnost smlouvy se v tomto případě jednalo?
","
Neplatnost absolutní.", Šlo o neplatnost smlouvy o spotřebitelském úvěru z důvodu rozporu se zákonem (§ 588 občanského zákoníku) a současně zjevného narušování veřejného pořádku.,2,llama,29
80,30,454226.txt,"
Jak se žalovaný bránil proti žalobě?
","
Žalovaný se nijak nevyjádřil.", Žalovaný se nevyjádřil vůbec.,10,llama,30
81,31,449948.txt,"
Jaká úroková sazba byla mezi stranami sjednána?
","
Úroková sazba byla 2,90 % p.a. a 20% p.a. v případě úroku z prodlení."," Answer:
2,90 % p.a.",5,llama,31
82,32,449878.txt,"
Na koho se soud v rozhodnutí odvolává?
","
Soud se odvolává na rozhodnutí Soudního dvora EU z roku 2020."," Soud se v rozhodnutí odvolává na spotřebitele, kteří mají podezření, že nedostatečné posouzení úvěruschopnosti způsobuje neplatnost absolutní nebo relativní úvěrové smlouvy.",1,llama,32
83,33,449787.txt,"
Jak dlouho jezdil žalovaný bez pojištění odpovědnosti?
","
Žalovaný po 70 dní neměl sjednáno pojištění.", Žalovaný jel bez pojištění odpovědnosti celkem 70 dní.,10,llama,33
84,34,449829.txt,"
Odkdy dokdy nebylo vozidlo pojištěno?
","
Od 1. 6. 2021 do 30. 9. 2021 a od 1. 10. do 1. 11. 2021.", Od 1. 6. 2021 do 30. 9. 2021 (celkem 122 dní) a od 1. 10. 2021 do 1. 11. 2021 (celkem 32 dní).,10,llama,34
85,35,454398.txt,"
Co v tomto případu učinil žalovaný za právní kroky?
","
Žalovaný písemně uznal svůj dluh, ale k žalobě se nevyjádřil."," Žalovaný se nevyjádřil ke žalobě a neuznal částku 11 500 Kč, kterou mu žalobkyně byla nucena uhradit za úhradu nákladů spojených s jeho ošetřením a pobytem na protialkoholní záchytné stanici. Žalovaný tak porušil svou povinnost platit úhradu a nebyl schopen splnit své závazky. Proto byl soudním roz",1,llama,35
86,36,454274.txt,"
Podle jakých zákonů soud věc posoudil?
","
Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (dále jen„ OZ“)."," According to the provided text, the court assessed the case based on the following laws:

* Act No. 458/2000 Coll., on the conditions for business activities and the exercise of state administration in energy industries, and on the amendment of certain acts (Energy Act)
* Act No. 89/2012 Coll., Civil Code (OBČANSKÝ ZÁKONÍK)",10,llama,36
87,37,449683.txt,"
Jak se neodborně nazývá typ pojištění odpovědnosti, o kterém v případě šlo?
","
Povinné ručení"," Český termín pro označení druhu pojištění odpovědnosti, o němž šlo v daném případě, je ""povinné ručení"".",10,llama,37
88,38,449698.txt,"
Jaký typ pojištění byl mezi stranami uzavřen?
","
Životní pojištění s pojistnou dobou 29 let.", Životní pojištění na 29 let s počátkem pojištění [datum].,9,llama,38
89,39,450226.txt,"
Kolik titulů má soudce, který věc řešil?
","
Má 2 tituly: Mgr. a Bc.", Mgr. Bc. Petr Závadský je samosoudcem.,10,llama,39
90,40,449702.txt,"
Čeho se dopustil žalovaný?
","
Žalovaný se dopustil bezdůvodného obohacení."," Žalovaný se dopustil nevrátení částky 10 000 Kč, která mu byla poskytnuta společností [právnická osoba] na jeho bankovní účet, ačkoliv mu bylo vyrozuměno, že musí tuto částku vrátit. Tento čin je considрован jako bezdůvodné obohacení.",7,llama,40
91,41,1018.txt,"
Kdo se chtěl rozvést s kým?
","
Návrh podal manžel, avšak manželka se k němu připojila rozvést se tedy chtěli oba dva manželé."," Answer:
Manžel se chtěl rozvést s manželkou.",2,llama,41
92,42,744.txt,"
Proč se manželé rozvedli?
","
Důvodem bylo neplnění společenské funkce manželství."," Answer:
Manželé se rozvedli kvůli vzniku neshod mezi nimi, zejména v oblasti financí a následného všech oblastí společného soužití, které vedly ke ztrátě vzájemné citové náklonnosti.",2,llama,42
93,43,1925.txt,"
Jak se jmenuje společnost, která poskytla spotřebitelský úvěr?
","
Provident", Provident.,10,llama,43
94,44,449935.txt,"
Podle kterého zákona soud posoudil skutkový stav?
","
Podle zák. č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla."," Podle zákona č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla, ve znění účinném v době tvrzeného provozování vozidla bez uzavřeného pojištění odpovědnosti.",10,llama,44
95,45,449892.txt,"
Jakou částku (už) žalovaný žalobkyni uhradil?
","
Žalovaný neuhradil žádnou částku, proto byl žalován.", Žalovaný žalobkyni uhradil částku 60 000 Kč.,1,llama,45
96,46,449861.txt,"
Jakou smlouvu spolu uzavřeli žalobci a žalovaný?
","
Smlouvu o nájmu nebytových prostor."," Žalobci a žalovaný uzavřeli smlouvu o nájmu nebytových prostor v ulici [příjmení] [anonymizováno] v přízemí budovy [adresa] pro obchodní prostory – jedna místnost a zázemí, šatna, WC.",10,llama,46
97,47,12502.txt,"
Kolikrát žalovaný použil dopravní prostředek žalobkyně?
","
Žalovený takto cestoval jednou a to tramvají."," Žalovaný použil dopravní prostředek žalobkyně jednou, a to dne [datum], kdy cestoval tramvají linkou 1 v [obec].",8,llama,47
98,48,449869.txt,"
Proč je žalovaný povinen něco platit žalobci?
","
Protože žalovaný užíval byt žalobce bez právního důvodu a bezdůvodně se tak obohatil."," Žalovaný je povinen zaplatit žalobci náhradu ve výši obvyklé ceny (obvyklé nájemné) za užívání předmětného bytu bez právního důvodu, jelikož se bezdůvodně obohatil na úkor žalobce. Tento případ se řídí ust. § 2991 a násl. o.z., které stanovují, že kdo se na úkor jiného bez spravedlivého důvod",8,llama,48
99,49,450042.txt,"
K jakému soudu je možné podat ve věci odvolání?
","
Ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.", Možné je podat odvolání k Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.,10,llama,49
100,0,1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání.",V,1,vicuna,0
101,1,968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč.","Answer:Žalovaný musí zaplatit žalobkyni celkově částku 3 344,9 Kč - částku za první přílohu v částce 1 855,95 Kč a druhou přílohu v částce 1 489 Kč.",9,vicuna,1
102,2,125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném.","Answer:
Ozaplacení částky peněz za odběr krve s odůvodněním, že se žalovaný dne [datum] podrobil odběru krve na žádost [anonymizována čtyři slova], pro podezření z ovlivněním návykovou látkou.

Note: I have translated the question and the answer from Czech to English for your reference.",7,vicuna,2
103,3,829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla.","Answer:
Soudrozhodl soud ve věci bez nařízení jednání, bez provedení dokazování s tím, že před rozhodnutím vycházel z důkazů, které mu byly předloženy. Soud zjistil, že mezi účastníky byly uzav",1,vicuna,3
104,4,1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou.",S,1,vicuna,4
105,5,666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.","""",0,vicuna,5
106,6,474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období.","A)Žalovaný 3 046 Kč s úrokem z prodlení
B) Žalovaný 1 489 Kč a 3 046 Kč s úrokem z prodlení
C) Žalobkyně 3 046 Kč a 1 489 Kč
D) Žalobkyně 4 535 Kč

Answer: B) Žalovaný 1 489 Kč a 3 046 Kč s úrokem z prodlení",2,vicuna,6
107,7,1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu.",S,1,vicuna,7
108,8,1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ).","A)Podle § 1955 o.z.
B) Podle § 1757 o.z.
C) Podle § 1952 o.z.
D) Podle § 2395 o.z.",1,vicuna,8
109,9,1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.",Ž,1,vicuna,9
110,10,595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách.","Czechtranslation:
Jaká je výše, kterou je možné stanovit přirážku? Kdo a jak ji stanoví?",1,vicuna,10
111,11,689.txt,"
Jak se vypočítá příspěvek za provozování vozidla?
","
Příspěvek se vypočítá jako součin počtu dní provozu vozidla a částky 34 Kč jakožto denní sazby.","Příspěvekza provozování vozidla se vypočítá součinem počtu dní žalovaného období a částky 34 Kč jako denní sazby, jejíž výše je dána druhem vozidla. V tomto případě byl žalovaný vlastníkem vozidla, přesto však nehradil pojistné z titulu pojištění odpovědnosti z",5,vicuna,11
112,12,1970.txt,"
Jak soud ve věci postupoval?
","
Soud nejprve vydal platební rozkaz, ale ten se nepodařilo žalované doručit, a tak jej zrušil usnesením. Poté projednal věc bez nařízení jednání, protože se účastníci tohoto práva vzdali. Soud provedl dokazování na základě listin ve spise.",S,1,vicuna,12
113,13,949_2.txt,"
Které právní předpisy soud použil při rozhodování?
","
Soud použil občanský zákoník, energetických zákon a cenové rozhodnutí ERÚ","A)Ustanovení §§ 497, 1746 odst. 2 a ustanovení § 1828 a násl. zák. č. 89/2012 Sb. občanský zákoník
B) Ustanovení § 1828 a násl. zák. č. 89/2012 Sb. občanský zákoník a zák. č. 458/2000 Sb. o podmínkách podnikání a o vý",4,vicuna,13
114,14,1898.txt,"
Jakými dopravními prostředky cestovala žalovaná?
","
Žalovaná cestovala autobusem MHD a trolejbusem MHD.",Ž,1,vicuna,14
115,15,949.txt,"
Čeho se týkala smlouva mezi žalobkyní a žalovanou?
","
Smlouva se týkala dodávky zemního plynu do odběrného místa.","A)Smlouva byla týkala dodávky zemního plynu.
B) Smlouva byla týkala jiného plynu než zemní.
C) Smlouva nebyla vůbec uzavřena.
D) Smlouva byla týkala jiného typu služby než dodávka plynu.",5,vicuna,15
116,16,807.txt,"
Co je to exponenciální časová složitost?
","
Bohužel není možné odpovědět na základě poskytnutých informací, ty se týkají soudních rozhodnutí.",Ex,1,vicuna,16
117,17,663.txt,"
Které zákony soud použil při svém rozhodování?
","
Soud postupoval podle občanského zákoníku a podle občanského soudního řádu.",S,1,vicuna,17
118,18,697.txt,"
Jaké číslo má zákon, podle kterého soud postupoval?
","
Číslo zákona je 348/2005 Sb.",Z,1,vicuna,18
119,19,12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.",S,1,vicuna,19
120,20,450001.txt,"
Kdo nesl ve věci důkazní břemeno?
","
Důkazní břemeno přešlo na žalovanou, protože žalobkyně nemůže prokazovat, že žalovaná něco neučinila.",Ž,1,vicuna,20
121,21,449857.txt,"
Z jakých důkazů soud vyšel?
","
Zjištěné údaje o vozidle [registrační značka], druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle [registrační značka], výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021.",S,1,vicuna,21
122,22,895.txt,"
Které měsíce žalovaný poplatek zaplatil?
","
Žalovaný zaplatil za leden až duben 2018.",Ž,1,vicuna,22
123,23,454305.txt,"
Jakým způsobem se žalovaný bránil proti žalobě?
","
Žalovaný se vůbec nevyjádřil.",Žalovanýse k žalobě nevyjádřil.,10,vicuna,23
124,24,449826.txt,"
Kolik toho žalovaná splatila?
","
Žalovaná splatila částku 22.910 Kč, tedy 9 splátek.",Ž,1,vicuna,24
125,25,454304.txt,"
Kolik požadovala žalobkyně a kolik jí soud přiznal?
","
Soud přiznal žalobkyni částku 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75% ročně z částky 105 049,77 Kč. Žalobkyně navíc požadovala zaplacení úroku ve výši 14,2 % ročně z částky 102 232,13 Kč od [datum] do zaplacení a zákonného úroku z prodlení ve výši 7,75 % ročně z částky 10 603,36 Kč od [datum] do zaplacení.","Žalobkyněpožadovala 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75 % ročně z částky 105 049,77 Kč od [datum] do zaplacení, vše do tří dnů ode dne právní moci tohoto rozsudku. Soud jí přiznal 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75 % ročně z částky 105 049,77 Kč od [datum] do zaplacení, vše do t",4,vicuna,25
126,26,454243.txt,"
Kde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?
","
Denní sazba je uvedena v ust. § 2 odst. 1 vyhlášky Ministerstva financí č. 205/1999 Sb.",D,1,vicuna,26
127,27,449749.txt,"
V jakém složení soud rozhodl ve věci?
","
Věc posuzovala samosoudkyně.",S,1,vicuna,27
128,28,449644.txt,"
Kdo tento soudní spor vyhrál?
","
Vyhrála žalobykně, byť jen částečně (soud část žaloby zamítl).",Soudníspor vyhrál žalovaný.,1,vicuna,28
129,29,449893.txt,"
O jakou neplatnost smlouvy se v tomto případě jednalo?
","
Neplatnost absolutní.",V,1,vicuna,29
130,30,454226.txt,"
Jak se žalovaný bránil proti žalobě?
","
Žalovaný se nijak nevyjádřil.","Žalovanýse ve stanovené lhůtě nevyjádřil a soudu, tudíž soudu nezbylo než rozhodnout podle ustanovení § 114b odst. 5 ve spojení s ustanovením § 153a odst. 3 občanského soudního řádu.

This means that the defendant did not respond to the invitation to express their views within the time limit set by",7,vicuna,30
131,31,449948.txt,"
Jaká úroková sazba byla mezi stranami sjednána?
","
Úroková sazba byla 2,90 % p.a. a 20% p.a. v případě úroku z prodlení.",S,1,vicuna,31
132,32,449878.txt,"
Na koho se soud v rozhodnutí odvolává?
","
Soud se odvolává na rozhodnutí Soudního dvora EU z roku 2020.",S,1,vicuna,32
133,33,449787.txt,"
Jak dlouho jezdil žalovaný bez pojištění odpovědnosti?
","
Žalovaný po 70 dní neměl sjednáno pojištění.",Ž,1,vicuna,33
134,34,449829.txt,"
Odkdy dokdy nebylo vozidlo pojištěno?
","
Od 1. 6. 2021 do 30. 9. 2021 a od 1. 10. do 1. 11. 2021.",V,1,vicuna,34
135,35,454398.txt,"
Co v tomto případu učinil žalovaný za právní kroky?
","
Žalovaný písemně uznal svůj dluh, ale k žalobě se nevyjádřil.",Ž,1,vicuna,35
136,36,454274.txt,"
Podle jakých zákonů soud věc posoudil?
","
Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (dále jen„ OZ“).",S,1,vicuna,36
137,37,449683.txt,"
Jak se neodborně nazývá typ pojištění odpovědnosti, o kterém v případě šlo?
","
Povinné ručení",T,1,vicuna,37
138,38,449698.txt,"
Jaký typ pojištění byl mezi stranami uzavřen?
","
Životní pojištění s pojistnou dobou 29 let.",U,1,vicuna,38
139,39,450226.txt,"
Kolik titulů má soudce, který věc řešil?
","
Má 2 tituly: Mgr. a Bc.",S,1,vicuna,39
140,40,449702.txt,"
Čeho se dopustil žalovaný?
","
Žalovaný se dopustil bezdůvodného obohacení.",Ž,1,vicuna,40
141,41,1018.txt,"
Kdo se chtěl rozvést s kým?
","
Návrh podal manžel, avšak manželka se k němu připojila rozvést se tedy chtěli oba dva manželé.",Man,1,vicuna,41
142,42,744.txt,"
Proč se manželé rozvedli?
","
Důvodem bylo neplnění společenské funkce manželství.","Manželése rozvedli proto, že manželství nepl",1,vicuna,42
143,43,1925.txt,"
Jak se jmenuje společnost, která poskytla spotřebitelský úvěr?
","
Provident",Sp,1,vicuna,43
144,44,449935.txt,"
Podle kterého zákona soud posoudil skutkový stav?
","
Podle zák. č. 168/1999 Sb., o pojištění odpovědnosti z provozu vozidla.",S,1,vicuna,44
145,45,449892.txt,"
Jakou částku (už) žalovaný žalobkyni uhradil?
","
Žalovaný neuhradil žádnou částku, proto byl žalován.",Ž,1,vicuna,45
146,46,449861.txt,"
Jakou smlouvu spolu uzavřeli žalobci a žalovaný?
","
Smlouvu o nájmu nebytových prostor.",Ž,1,vicuna,46
147,47,12502.txt,"
Kolikrát žalovaný použil dopravní prostředek žalobkyně?
","
Žalovený takto cestoval jednou a to tramvají.",Ž,1,vicuna,47
148,48,449869.txt,"
Proč je žalovaný povinen něco platit žalobci?
","
Protože žalovaný užíval byt žalobce bez právního důvodu a bezdůvodně se tak obohatil.",Ž,1,vicuna,48
149,49,450042.txt,"
K jakému soudu je možné podat ve věci odvolání?
","
Ke Krajskému soudu v Brně prostřednictvím Okresního soudu v Jihlavě.",V,1,vicuna,49
